40,3,0,40,0,62,2,0,165,129,0,0,0,0,0,0,127,110,0,32,0,0,42,8,15,0,0,0,0,0,0,13
23,22,0,0,0,0,16,0,190,10,1,26,15,22,0,16,23,61,7,0,14,6,0,0,7,22,30,20,0,31,17,19
0,1,6,0,0,0,0,0,219,44,45,18,13,9,0,0,90,84,0,25,49,0,0,19,15,0,42,23,0,62,8,12
0,19,45,0,12,6,24,4,105,184,0,30,0,0,0,0,33,4,2,0,0,2,72,0,15,23,0,0,32,0,1,25
0,34,16,0,0,28,0,0,55,4,0,0,38,32,0,0,15,10,0,14,0,50,0,0,0,24,231,59,33,37,12,0
0,2,22,0,0,26,14,17,0,148,0,0,11,18,12,0,0,6,0,0,0,2,23,36,0,113,244,44,6,0,25,0
0,32,25,22,38,42,43,18,22,175,123,0,0,7,8,21,0,25,32,0,18,11,50,23,0,220,169,81,0,16,26,14
131,189,10,0,50,0,0,32,0,21,0,0,0,58,0,0,0,6,0,0,7,34,0,12,34,59,165,17,24,30,4,0
142,116,82,3,0,0,0,8,0,0,0,0,0,27,22,7,25,3,0,0,0,6,0,0,76,95,0,14,8,12,2,0
98,192,91,5,23,11,0,0,0,0,3,23,39,0,55,11,12,0,3,18,0,15,5,20,34,0,35,0,32,0,0,0
118,25,52,78,0,0,36,12,17,11,11,0,21,0,0,0,0,0,0,38,0,16,58,3,208,4,18,2,4,24,9,43
29,0,0,217,62,0,5,0,0,26,0,0,15,0,0,4,0,0,0,10,0,0,0,31,20,0,0,0,0,40,0,0
0,0,0,218,53,109,0,49,0,14,0,46,2,0,12,38,19,0,0,12,0,10,157,0,0,0,0,0,25,0,38,0
48,0,0,29,5,148,18,0,0,0,0,36,0,36,21,0,0,6,38,0,1,46,0,0,32,0,0,33,0,0,47,0
0,24,41,9,42,1,29,0,0,10,0,0,0,0,0,0,5,15,7,0,1,0,40,22,0,0,0,6,37,48,8,0
0,14,0,0,18,1,8,0,16,33,12,4,5,29,0,0,7,19,0,0,0,7,0,9,0,0,0,0,0,0,59,0
